"Reef","Block","Treatment","Transect","Distance","fish","fert","coregrowtharea","coregrowthweight","coreprodarea","coreprodweight","corebladeaream2","corebladeweightm2","bgprod","avgheight","shootsm2","totepweightperarea","totepweightperweight","corebitesperarea","sheathsm2","rhizomesm2","rootsm2","detritusm2","syrbladesm2","syrrhizomesm2","syrrootsm2","bgweight","agweight","bgshthweight","totweight","meanC_Blades","meandC_Blades","meanN_Blades","meandN_Blades","meanP_Blades","meanC_Sheaths","meandC_Sheaths","meanN_Sheaths","meandN_Sheaths","meanP_Sheaths","meanC_Rhizomes","meandC_Rhizomes","meanN_Rhizomes","meandN_Rhizomes","meanP_Rhizomes","meanC_Roots","meandC_Roots","meanN_Roots","meandN_Roots","meanP_Roots","bladeC","sheathC","rzC","rtC","bladeN","sheathN","rzN","rtN","bladeP","sheathP","rzP","rtP","agthalC","agthalN","agthalP","bgthalC","bgthalN","bgthalP","totthalC","totthalN","totthalP","agCprod","bgCprod","totCprod","agCturn","bgCturn","totCturn","avgfishN","avgfishP","fertN","fertP","totN","totP","NP","labels"
"YM1A","1","A",1,1,"low","no",297.236111111111,0.0124365441945047,29723.6111111111,1.24365441945047,1145916.66666667,48.1366666666667,2.51580026153339,61.5484126984127,1333.33333333333,3.64676708152575e-06,0.0876051079159141,0.000951366626034335,103.663333333333,361.316666666667,186.913333333333,19.77,0.603333333333333,5.78666666666667,2.26333333333333,548.23,151.8,651.893333333333,700.03,40.4574506555556,-8.52800312833333,1.42518287966667,0.651069964111111,0.0985047556666667,37.0036114266667,-7.880994998,0.762927808666667,0.26364092,0.0978846133333333,35.9778663733333,-7.234874256,0.507432499666667,0.801234238,0.07256342625,35.87376724,-6.750366155,0.821749415666667,0.421258128666667,0.0285128313333333,19.5541858325696,38.3205444633507,130.054526804996,67.043075881614,0.684036658103733,0.7902691485583,1.8308230000277,1.5329831804548,0.0475398820347,0.102495798458333,0.265546493284483,0.0530778560678667,57.8747302959202,1.47430580666203,0.150035680493033,197.09760268661,3.3638061804825,0.31862434935235,254.97233298253,4.83811198714453,0.468660029845383,0.504117678051792,0.904652038956198,1.40876971700799,0.00857942741670266,0.00461742177793766,0.00553591604635891,0.155285431777778,0.0109442438888889,0,0,0.155285431777778,0.0109442438888889,31.3876008441576,"-F-A"
"YM1A","1","A",1,20,"low","no",168.277083333333,0.00839824088533654,16827.7083333333,0.839824088533654,823616.666666667,40.25,2.05198712946257,81.8151515151515,966.666666666667,1.03120613298783e-05,0.212135472918056,3.61945092929403e-05,75.8,319.65,155.816666666667,17.3466666666667,0.443333333333333,3.1,1.01333333333333,475.466666666667,116.05,551.266666666667,591.516666666667,40.01016752,-8.44072629033333,1.229120332,-0.345729198,0.081355978,38.00836608,-8.148089331,0.751244310666667,-0.115523368,0.058193835,34.7107327733333,-7.75064654911111,0.490019577777778,0.220310073555556,0.0522213694166667,35.5330646066667,-7.231323851,0.787358388666667,-0.247666240333333,0.0272263406666667,15.967238482961,28.635212838928,111.9207324488,55.0590597956037,0.4897761962021,0.5651478896536,1.57400752605981,1.21239861172377,0.0315056828383,0.0446698782956,0.1666881490489,0.0424357327735667,44.602451321889,1.0549240858557,0.0761755611339,166.979792244404,2.78640613778358,0.209123881822467,211.582243566293,3.84133022363928,0.285299442956367,0.333657714796572,0.718172010240854,1.05182972503743,0.00751618293653728,0.00457412084579051,0.00518149300861422,0.155285431777778,0.0109442438888889,0,0,0.155285431777778,0.0109442438888889,31.3876008441576,"-F-A"
"YM1A","1","A",2,1,"low","no",177.731018518519,0.00762681239767332,17773.1018518519,0.762681239767332,679966.666666667,28.7633333333333,2.52838436214592,58.6306818181818,966.666666666667,7.70576613837914e-06,0.182074034924908,0.000839670328432154,46.1466666666667,355.616666666667,201.23,10.9,1.68333333333333,4.46666666666667,1.29666666666667,556.846666666667,74.91,602.993333333333,631.756666666667,43.18844638,-8.00755410022222,1.61078326844444,0.323653492777778,0.08477732,37.14178466,-7.42600537266667,0.752988200666667,0.0182164283333334,0.0441050226666667,34.83337836,-7.21012356366667,0.498383761,-0.011423892,0.0334694310833333,35.71241665,-6.54993454633333,0.81201792,-0.136384786666667,0.019008416,12.4193563387133,17.12275443772,122.703465037525,72.557333472188,0.464132947880222,0.3491818197924,1.72268278526693,1.6138704873932,0.0243727976904,0.02040446904,0.107810504693542,0.03654721848,29.5421107764333,0.813314767672622,0.0447772667304,195.260798509713,3.33655327266013,0.144357723173542,224.802909286146,4.14986804033276,0.189134989903942,0.329676660007601,0.888874298549762,1.21855095855736,0.0112157428330009,0.00523012929861665,0.00608080822095679,0.155285431777778,0.0109442438888889,0,0,0.155285431777778,0.0109442438888889,31.3876008441576,"-F-A"
"YM1A","1","A",2,20,"low","no",118.444444444444,0.00593113795616645,11844.4444444444,0.593113795616645,580866.666666667,28.7533333333333,1.37959034163258,92.8333333333333,366.666666666667,7.15791627275149e-06,0.144875720989324,0.00027801065559447,42.15,63.7166666666667,46.84,4.92,1.88333333333333,7.44,2.99,110.556666666667,70.9033333333333,152.706666666667,181.46,42.1732747366667,-8.01849793466667,1.339736639,0.287988326,0.108427990333333,35.9471555866667,-7.898968156,0.695881233333333,0.328449473333333,0.0723164356666667,36.6373140366667,-8.27208569333333,0.462463868666667,0.233809844333333,0.210981391,33.17850673,-7.244375985,0.659485926333333,-0.09352794,0.0399461136666667,12.1092027626347,15.18520057348,23.130928665207,15.5007973833783,0.3852021916308,0.290349291812733,0.2892091473164,0.3080312453178,0.0294324752116667,0.0284491533099,0.1274700954859,0.0186918198784333,27.2944033361147,0.675551483443533,0.0578816285215667,38.6317260485853,0.5972403926342,0.146161915364333,65.9261293847,1.27279187607773,0.2040435438859,0.250258979406629,0.481957443754905,0.732216423161533,0.00966905841352409,0.0126790965090435,0.0114048632826022,0.155285431777778,0.0109442438888889,0,0,0.155285431777778,0.0109442438888889,31.3876008441576,"-F-A"
"YM1A","1","A",3,1,"low","no",243.708333333333,0.010149942611756,24370.8333333333,1.0149942611756,966566.666666667,42.4166666666667,2.67282187446551,66.1241071428571,1000,2.16399533088093e-06,0.0492336855601646,0.000279109362025776,61.81,286.93,204.47,9.98333333333333,0.566666666666667,1.08,0.293333333333333,491.4,104.226666666667,553.21,595.626666666667,42.1493197966667,-7.79783366566667,1.64086178466667,0.118478397333333,0.0754071366666667,39.1766004766667,-7.02809341055556,0.905185126,0.246457406444444,0.051951692,36.45315977,-7.057714787,0.532753976333333,0.434132830333333,0.0315927805833333,38.4936702633333,-6.41636205833333,0.917068188333333,0.202629675,0.022286125,17.916508531999,24.2533022240703,104.759672962312,79.056339559835,0.694994233032733,0.5633299538366,1.56073045913813,1.88171727270757,0.032195559133,0.0321418962826,0.08830414214835,0.0448596679131667,42.1698107560693,1.25832418686933,0.0643374554156,183.816012522147,3.4424477318457,0.133163810061517,225.985823278216,4.70077191871503,0.197501265477117,0.429259418871353,0.995971346438207,1.42523076530956,0.0100509662791695,0.00622787083019027,0.00692871452160011,0.155285431777778,0.0109442438888889,0,0,0.155285431777778,0.0109442438888889,31.3876008441576,"-F-A"
"YM1A","1","A",3,20,"low","no",191.599206349206,0.00947626280877734,19159.9206349206,0.947626280877734,868925,42.8833333333333,2.04902632112483,64.5277777777778,1066.66666666667,4.67431648978047e-06,0.0958465777979353,0.000132467876539939,51.9666666666667,373.653333333333,210.963333333333,28.21,3.14666666666667,12.68,3.32666666666667,584.616666666667,94.85,636.583333333333,679.466666666667,41.4469788833333,-8.07505345,1.47557322266667,0.154434672,0.0696739633333333,39.1472537333333,-7.46640870766667,0.793464067333333,0.736808191,0.0421076633333333,37.88054531,-7.13520700233333,0.587916023333333,0.547449843,0.0268369123333333,37.97633135,-6.74729497433333,0.859560882,0.494683319666667,0.021105072,17.7502220071513,20.3432296623397,141.277163421346,80.1034323996317,0.634186224984333,0.411334005436867,2.1815118328642,1.81388270393227,0.0295733882383,0.0217463472967667,0.0997219136694,0.0444823437810667,38.093451669491,1.0455202304212,0.0513197355350667,221.380595820978,3.99539453679647,0.144204257450467,259.474047490469,5.04091476721767,0.195523992985533,0.392216136108122,0.77712105357426,1.16933718968238,0.0103322813670624,0.00352716980576299,0.00451480993590678,0.155285431777778,0.0109442438888889,0,0,0.155285431777778,0.0109442438888889,31.3876008441576,"-F-A"
"YM1B","1","B",1,1,"high","no",380.128703703704,0.0167902363403581,38012.8703703704,1.67902363403581,1683483.33333333,74.9533333333333,2.68441921436655,98.9391711229947,1100,5.94965217496697e-06,0.13228534218833,6.68773607657155e-05,104.513333333333,346.06,156.703333333333,52.6433333333333,0.29,0,0.0933333333333333,502.763333333333,179.466666666667,607.276666666667,682.23,40.9273211566667,-8.55820126033333,1.309803176,0.976969787333333,0.0861890006666667,36.3868117066667,-8.145414184,0.776174745,0.774547813333333,0.0957804866666667,36.4119989,-7.77668633433333,0.596291890666667,0.156333506,0.0836615609166667,35.1791015633333,-6.73790378733333,0.794185257,0.297529866,0.028728893,30.714451030234,37.8875330689617,124.959805165794,54.432275809841,0.980382093129867,0.811024574064233,2.02817258503447,1.2388612115644,0.0649551959762667,0.1025771887784,0.261215154472758,0.0426484202892667,68.6019840991957,1.7914066671941,0.167532384754667,179.392080975635,3.26703379659887,0.303863574762025,247.994065074831,5.05844046379297,0.471395959516692,0.687803104566922,0.972567002062983,1.66037010662991,0.0101361862737672,0.00690696564716927,0.00772586989923763,0.682511932444444,0.0443972243333333,0,0,0.682511932444444,0.0443972243333333,34.0069434281769,"+F-A"
"YM1B","1","B",1,20,"high","no",131.350694444444,0.00615155264530903,13135.0694444444,0.615155264530903,757766.666666667,35.65,1.88230059280014,98.2361111111111,666.666666666667,1.44433865632663e-05,0.30681690770961,0.000218691977046773,49.1533333333333,195.446666666667,101.566666666667,8.13333333333333,0,0,0.763333333333333,297.013333333333,84.8033333333333,346.166666666667,381.816666666667,39.87224633,-7.78712941766667,1.407759967,0.30432771,0.0951306523333333,36.37680107,-7.50910874833333,0.790752084666667,0.546360785666667,0.0746327676666667,34.98037667,-7.78038265066667,0.451496688,0.650924178333333,0.0550772753333333,33.25189069,-6.74850771366667,0.749334027,0.231761439333333,0.0271418143333333,14.216328822131,17.8208534591817,68.3810132463913,33.8066057564133,0.498911144907067,0.389329453763867,0.8836745144776,0.771853978040333,0.0340936972124333,0.0362105782269333,0.1101895563426,0.0268538628853333,32.0371822813127,0.888240598670933,0.0703042754393667,102.187619002805,1.65552849251793,0.137043419227933,134.224801284117,2.54376909118887,0.2073476946673,0.245227925314153,0.646811122659869,0.892039047974022,0.00755001545716934,0.00690646971817766,0.00694883869617039,0.682511932444444,0.0443972243333333,0,0,0.682511932444444,0.0443972243333333,34.0069434281769,"+F-A"
"YM1B","1","B",2,1,"high","no",259.241003787879,0.0121809075370896,25924.1003787879,1.21809075370896,1039666.66666667,48.56,2.41197485280682,69,1200,7.35506739443432e-06,0.155516911010476,0.000761725016188532,90.7166666666667,409.006666666667,198.5,17.7733333333333,1.35666666666667,4.62333333333333,2.8,607.506666666667,139.276666666667,698.223333333333,746.783333333333,42.3879406166667,-7.81699866033333,1.55044562333333,0.633289752666667,0.0973709433333333,37.6077265233333,-7.53328608833333,0.832373447,0.572961963333333,0.0589873763333333,36.5007818366667,-7.04606659333333,0.528910393666667,0.277569228333333,0.0426891586666667,36.63949614,-6.594497305,0.845332915666667,0.005417199,0.0241894506666667,20.5983321866887,34.0975579820643,149.089032356844,72.7219889497287,0.754141835206033,0.759477071699367,2.14961195137607,1.666131301053,0.0471001983732333,0.0534158104345667,0.178807882401333,0.0477894965036,54.695890168753,1.5136189069054,0.1005160088078,221.811021306573,3.81574325242907,0.226597378904933,276.506911475326,5.32936215933447,0.327113387712733,0.516702949549269,0.881749358997979,1.39845230854725,0.0092789934287032,0.00407353090727075,0.00511037263623618,0.682511932444444,0.0443972243333333,0,0,0.682511932444444,0.0443972243333333,34.0069434281769,"+F-A"
"YM1B","1","B",2,20,"high","no",133.710648148148,0.0056150397044164,13371.0648148148,0.56150397044164,537025,23.0033333333333,1.77419279069445,66.825,766.666666666667,1.64482353683694e-05,0.387133240027709,0.000373775883979966,35.5566666666667,168.76,76.6,6.32666666666667,0,0,0.0733333333333333,245.36,58.56,280.916666666667,303.92,41.3016499433333,-8.18195523233333,1.51545757433333,-0.372622521666667,0.076095363,38.68170004,-7.65938742133333,0.755814145333333,-0.397121014333333,0.03124736,37.7339499333333,-7.65775094133333,0.559919113333333,0.342017879,0.0445988956666667,36.9296849433333,-7.02868786466667,0.874107720333333,-0.299089284333333,0.0189026293333333,9.40537984565467,13.7161038381447,63.4744117339147,28.0480814641027,0.348449189040233,0.2708362036429,0.931057837298733,0.677283207792267,0.0165125585471333,0.0108202571380667,0.0581034600096667,0.0140645583987333,23.1214836837993,0.619285392683133,0.0273328156852,91.5224931980173,1.608341045091,0.0721680184084,114.643976881817,2.22762643777413,0.0995008340936,0.230381336588313,0.663961852200316,0.894343188788629,0.00985981120787557,0.00813910693029445,0.00857780807760278,0.682511932444444,0.0443972243333333,0,0,0.682511932444444,0.0443972243333333,34.0069434281769,"+F-A"
