Days,CoreID,ShootID,BladeID,Reef,Transect,Distance,Core,Species,Shoot,Flower?,Blade,Blade_Tin,Growth,Length,Bitten,Width,Epiphyte_Tin,Blade_dry_weight,Epiphyte_dry_weight,Bites
12,YM4B_1_1_3,YM4B_1_1_3_1,YM4B_1_1_3_1_1,YM4B,1,1,3,Thalassia,1,,1,168,0,111,y,7,1934,0.0971,0.0424,0
12,YM4B_1_1_3,YM4B_1_1_3_1,YM4B_1_1_3_1_2,YM4B,1,1,3,Thalassia,1,,2,168,22,22,,7,1934,0.0971,0.0424,0
12,YM4B_1_1_3,YM4B_1_1_3_1,YM4B_1_1_3_1_3,YM4B,1,1,3,Thalassia,1,,3,168,57,132,,7,1934,0.0971,0.0424,0
12,YM4B_1_1_3,YM4B_1_1_3_2,YM4B_1_1_3_2_1,YM4B,1,1,3,Thalassia,2,,1,257,,118,y,6,1934,0.0646,0.0424,3
12,YM4B_1_1_3,YM4B_1_1_3_2,YM4B_1_1_3_2_2,YM4B,1,1,3,Thalassia,2,,2,257,,113,y,6,1934,0.0646,0.0424,3
12,YM4B_1_1_3,YM4B_1_1_3_3,YM4B_1_1_3_3_1,YM4B,1,1,3,Thalassia,3,,1,286,0,78,y,6,1934,0.0797,0.0424,3
12,YM4B_1_1_3,YM4B_1_1_3_3,YM4B_1_1_3_3_2,YM4B,1,1,3,Thalassia,3,,2,286,0,83,,6,1934,0.0797,0.0424,3
12,YM4B_1_1_3,YM4B_1_1_3_3,YM4B_1_1_3_3_3,YM4B,1,1,3,Thalassia,3,,3,286,36,92,,6,1934,0.0797,0.0424,3
12,YM4B_1_1_3,YM4B_1_1_3_3,YM4B_1_1_3_3_4,YM4B,1,1,3,Thalassia,3,,4,286,41,48,,6,1934,0.0797,0.0424,3
12,YM4B_1_1_3,YM4B_1_1_3_4,YM4B_1_1_3_4_1,YM4B,1,1,3,Thalassia,4,y,1,607,0,133,y,5.5,1934,0.0626,0.0424,3
